,,,,
Lost Crusader,"If learned, Grand Cross and Restoration Level +1",Forgotten_,,
Lost Assassin,"If learned, Sonic Blow and Cross Impact Level +1",Forgotten_,,
Lost Rogue,"If learned, Back Stab and Eliminate level +1",Forgotten_,,
Lost Blacksmith,"If learned, Axe Tornado and Power Thrust level +1",Forgotten_,,
Lost Alchemist,"If learned, Conflagration and Alchemical Weapon level +1",Forgotten_,,
Lost Hunter,"If learned, Threefold Arrow and Shrapnel Mine level +1",Forgotten_,,
Lost Bard,"If learned, Synchronic Strike and Hero's Hymn level +1",Forgotten_,,
Lost Dancer,"If learned, Vicious Verse and Devastating Descant level +1",Forgotten_,,
Lost Wizard,"If learned, Crimson Rock, Storm Gust, Lord of Vermillion level +1",Forgotten_,,
Lost Sage,"If learned, Inferno, Deluge, Whirlwind level +1",Forgotten_,,
Lost Priest,"If learned, Renovatio and Purifying Light level +1",Forgotten_,,
Lost Monk,"If learned, Soul Quake and Raging Thrust level +1",Forgotten_,,
Lost Memory,"Warp Portal, Resurrection, High Jump level +1",_of Reminiscence,,
Lost Dream,Enchant armor with Ghost property,_of False Hope,,
Alnoldi,Hard Def +1 per Base Vit,Overgrown_,,
Breeze,Add a chance to autocast Tailwind Lv 3 when taking damage,_of Flight,,
Octopus Tentacle,Adds a small chance to Freeze enemies when taking damage,Arctic_,,
Cornutus,Vulnerable Potency Received -15%,Reliable_,,
Pot Dofle,SP Regen +1% per Base Vit,_of Momentum,,
Coal Titan,Add a chance to autocast Blinding Pulse Lv3 when taking damage. Blind Potency +20,Black Cloud_,,
Tower Keeper,Slow Resist +75%,Time Keeper's_,,
Flux Titan,"Bleeding, Burning, Poison  Status damage received -50%",Obsidian_,,
Gaster,"Poison Resist +30%, Poison Status Damage inflicted +10%",Abiotic_,,
Obsidian,"Bleeding Resist +30%, Bleeding Damage +10%",Inanimate_,,
Teddy Bear,Autocast Hammerfall when taking damage,Hammering_,,
Marduk,"Mdef +25, Def -100",_of Warding,,
Myst Case,Equipment can't be Divested,Sealed_,,
Chepet,"Burning Damage +25%, Burning Duration +3s",Matchstick_,,
Antonio,Enables use of Steal Lv1. Silence self for 10s on Unequip,_of the Grinch,,
Gold Acidus,"For each refine, Max HP +2% / Max SP -4%",Supreme_,,
Treasure Mimic,Gain a random amount of zeny upon killing monsters. Max HP/SP/Move Speed -10%,_of Cursed Gold,,
Command Drone,"All Stats +1. Max HP +500. If equipped with Maintenance/Cleaning Drone Card, apply effect again.",_of Instruciton,,
Heavy Assault Drone,Add a chance to gain a barrier equal to 10% of Max HP when attacked,Reactive_,,
Tirfing,"Bleeding, Burning, and Poison Damage +10%",_of Intimidation,,
Executioner,Physical Damage to All Sizes +10%,_of Brutality,,
Mysteltainn,Magical Damage to All Sizes +10%,_of Mysticism,,
Khalitzburg,Vulnerable Potency +10%. Damage from Vulnerable Enemies -10%,Chivalric_,,
Dark Frame,Potion Effectiveness +20%. Max HP -20%,_of Broken Glass,,
Dark Illusion,"Matk +10%, Max HP/SP -10%, Movement Speed -10%",_of Advent,,
Galion,Atk +3%. Additional Atk +2% for each Roween Card equipped.,Packleader's_,,
Alice,Enables Coluceo Heal/Grace Heal at the same level the user has learned the other,_of Mending,,
Echio,"Enables Double Attack with all weapons. Double Attack Chance +20%, Hit Rate +10",Crazed_,,
Hodremlin,"Atk +30, Perfect Hit +20%",Fanged_,,
Banshee,Fixed Cast Time -1s. Max HP -15%,Shrieking_,,
Zombie Slaughter,"Crit Rate +25, Max HP -25%",Murderous_,,
Remover,"If Str/Agi/Vit are higher than Dex/IntLuk: Atk +30. If not, Max HP +15%",First Responder's_,,
Shadow of Pain,"Matk +5%, Max HP +10%, VCT +30%.   Set with Pain, Grief, Spite",_of Pain,,
Shadow of Rage,"Atk +5%, Max HP +10%, Crit Rate -10.  Set with Rage, Scorn, Dread",_of Rage,,
Centipede,Summoned Entity Attack +10%. Max HP -10%,Infested_,,
Dolomedes,Add a 25% Chance to Chill enemies when taking damage,Frosted_,,
Scaraba Protector,Max HP +10%. Melee Resistance +5%,Shelled_,,
Overseer Drone,Summoned Entity Max HP +10%. Summoned Entity Attack +10%,_of Command,,
Hollow Comfort,"Max HP +15%. If equipped with False Joy/Vain Empathy, Physical/Magical Attacks pierce Resistances/Weaknesses of Holy enemies",_of Relief,,
Shadow of Wrath,"Enables Berserk Lv1. Physical/Magical Damage to Nightmares +5%. Combo with 4 Shadows: ASPD Limit +3, Damage Taken from Nightmares -20%",_of Wrath,,
Ultralicina,Water Resistance +10%. Immune to Chill,Insulated_,,
Jorgan Bladekeeper,Max HP +15%. Ranged Damage Taken -10%. Exuvic Blessing +2,Stalwart_,,
