,,,,
Ash Pup,Ranged Damage Taken -5%,Shrunken_,,
Metaling,Stun Resist +40%,Bolstered_,,
Red Novus,Bleeding Duration from Slash +3 Seconds,_of Extra Bleeding,,
Toxic Mantis,Poison Duration from Envenom +3 Seconds,_of Extra Poison,,
Hydra,Matk +10,Enchanted_,,
Pirate Skeleton,Atk +10,Empowered_,,
Kukre,Movement Speed +5%,Skittering_,,
Vadon,Martial Training Level +1,Martial_,,
Marse,Blind Potency Inflicted +10,Inky_,,
Sedora,Variable Cast Time -10%,Versed_,,
Strouf,Wind Property Magic Damage +10%,Storm King's_,,
Skeleton Worker,"Crit +5, Crit Pierce +10%",Penetrating_,,
Myst,Blind duration from Sand Attack +3 Seconds,_of Extra Blind,,
Bathory,"Matk +5%, Variable Cast Time +15%",_of Witchcraft,,
Waste Stove,Earth Magic Damage +10%,Mountain King's_,,
Matyr,"Agi +2, Dex +2",Deft_,,
Zerom,"Str +2, Vit +2",_of Labor,,
Santa Poring,"Str, Agi, Vit +1               Combo with Santa Lunatic: All Stats +1",_of Gifts,,
Santa Lunatic,"Int, Dex, Luk +1              Combo with Santa Poring: All Stats +1",_of Presents,,
Christmas Goblin,"ASPD +2, Crit Damage -10%",Flurry_,,
Green Ferus,Vulnerable Potency +10%,_of Rust,,
Data Drone,Breach Resistance +40%,Unbroken_,,
Repair Robot,Healing Power +15%,Repair_,,
Security Drone,Barrier Amount Received +15%,_of Rerouting,,
Duskling,Atrophy Resistance +40%,_of the Dark,,
Raydric Archer,Slow Duration Applied +3 Seconds,_of Obstruction,,
Wraith,Slowcast Resistance +40%,_of Eloquence,,
Wicked Shade,Breach Potency +10%,Spiteful_,,
Dark Priest,Dark Magic Damage +10%,Abyss King's_,,
Wanderer,"Crit Damage +10%, ASPD -10",_of Overkill,,
Dry Rafflesia,Physical Damage to Water and Earth Property +5%,Dessicated_,,
Roween,Crit +5. Combo with Galion: Additional Crit +5,Opportunist_,,
Stapo,Throw Stone Level +1,_of Pebbles,,
Rock Scorpion,"Def Pierce +25 (flat, not %)",Perforated_,,
Amitera,Physical Damage to Fire and Wind Property +5%,Soaked_,,
Veins Smasher,Physical Damage to Stunned and Staggered enemies +10%,Smashing_,,
Heater,Burning Damage +10%,_of Cinders,,
Holiday Cheer,Magic Damage to Bleeding enemies +10%,Bloody_,,
Boundless Generosity,"Max SP +25%, Max HP -25%",_of Exchange,,
Siroma,Frozen Resist +40%,Heated_,,
Magmaring,Physical Damage to Burning enemies +10%,Searing_,,
Imp,Magic Damage to Burning enemies +10%,White-Hot_,,
Princess of Flame,Fire Magic Damage +10%,Inferno King's_,,
Flame Skull,"Burning Damage +15%, Max HP -5%",Scorching_,,
Hellhound,"Bleeding Damage +15%, Max HP -5%",Shrapnel_,,
Necromancer,Summoned Entity Damage +5%,Minion Master's_,,
Avatar of Agony,Bleeding/Burning/Poison Damage +10%,Barbaric_,,
Avatar of Sorrow,"Crit Damage +10%, Crit Pierce +10%",Savage_,,
Centipede Larva,Magic Attacks have a 10% Chance to inflict Poison,Psychovenom_,,
Menblatt,Enables Backslide Lv1,Flitting_,,
Baby Dolomedes,Physical Damage to Chilled enemies +10%,Sub-Zero,,
Yggdrasil's Dew,"Crit +5, ASPD +1",Raindrop_,,
Yggdrasil's Tears,"VCT -10%, Ranged Damage Taken -5%",Teardrop_,,
Venom of the Abyss,Poison Status Resist +50%. Damage from Nightmares -5%,_of Deep Cure,,
Frost of the Abyss,"Chill Resist +50%, Damage from Nightmares -5%",_of Deep Warmth,,
Light of the Abyss,"Searing Light Resist +50%, Damage from Nightmares -5%",_of Deep Light,,
Shadow of the Abyss,"Curse Resist +50%, Damage from Nightmares -5%",_of Deep Blessing,,
Rotten Promise,VCT -10%. Healing Power +10%,_of Lost Potential,,
Recon Drone,Hit Rate +50,Precision_,,
Memory of Faith,Flat Def Pierce +50,_of Faith,,
Memory of Hope,Flat MDef Pierce +15,_of Hope,,
Shining Seaweed,Chill Duration +5s,_of Deep Freeze,,
Melibe Iceslug,Physical Damage while Chilled +5%,Frosted_,,
Snowrabbit Iceslug,Magical Damage while Chilled +5%,Numbing_,,
Rgan Laborer,Crit Rate +7. Exuvic Blessing +1,_of Serpent's Cunning,,
Rgan Peasant,Variable Cast time -15%. Exuvic Blessing +1,_of Serpent's Wisdom,,
Jorgan Flamekeeper,Fireball inflicts Deadly Poison. Exuvic Blessing +1,_of Toxic Flame,,
Jorgan Stormkeeper,Static Burst inflicts Poison. Exuvic Blessing +1,_of Toxic Bolt,,
